Horizon,Model,Symbol,MSE,QLIKE
t+30,HAR-TCJ,BTC,1.0398381791435067e-06,0.17281033161137838
t+30,HAR-TCJ,DOGE,1.5056820735895903e-05,0.34815506875784796
t+30,HAR-TCJ,ETH,4.074586514478636e-06,0.22314667259546458
t+30,HAR-TCJ,TRX,3.293755298907996e-06,193105.8013924822
t+30,HAR-TCJ,XLM,1.1816566115611923e-05,0.2728529975225729
t+30,HAR-TCJ,XRP,1.2355111798397867e-05,0.21459028311222866
t+30,LHAR-TCJ,ADA,1.2215370995329783e-05,7780690.253977769
t+30,LHAR-TCJ,BNB,6.875334252374697e-06,0.27579242691274103
t+30,LHAR-TCJ,BTC,1.047693759523131e-06,0.17374137521557328
t+30,LHAR-TCJ,DOGE,1.5115827053840681e-05,0.3483690888063998
t+30,LHAR-TCJ,ETH,4.105209766606816e-06,0.22534695071814811
t+30,LHAR-TCJ,TRX,3.3369851348480367e-06,193105.8035269205
t+30,LHAR-TCJ,XLM,1.1982644670199088e-05,0.27387983688575374
t+30,LHAR-TCJ,XRP,1.2438979759988413e-05,0.21525433022665008
t+30,Fuzzy HAR,ADA,4.752112566480353e-06,0.10684796778511198
t+30,Fuzzy HAR,BNB,2.6588150171553878e-06,0.1225351042518526
t+30,Fuzzy HAR,BTC,5.455952638810858e-07,0.0910607870974992
t+30,Fuzzy HAR,DOGE,4.129008069332321e-06,0.16933865911410723
t+30,Fuzzy HAR,ETH,2.1671696779397146e-06,0.10998421173133269
t+30,Fuzzy HAR,TRX,1.4442707094367044e-06,0.14497002445689586
t+30,Fuzzy HAR,XLM,4.661369648439219e-06,0.12566374010447529
t+30,Fuzzy HAR,XRP,5.2932204019803e-06,1489345.3324229168
t+30,RV-FTS,ADA,1.1142303809215647e-05,0.23617468086659557
t+30,RV-FTS,BNB,8.486194749977419e-06,0.286342102027474
t+30,RV-FTS,BTC,1.4034497394034673e-06,0.21111944017780868
t+30,RV-FTS,DOGE,1.0734251271528969e-05,0.46056639619961676
t+30,RV-FTS,ETH,5.355743486405028e-06,0.23269465975287576
t+30,RV-FTS,TRX,3.3478429244773054e-06,0.29799335968489543
t+30,RV-FTS,XLM,9.76752776644255e-06,0.2546627796160206
t+30,RV-FTS,XRP,9.399135873459423e-06,0.2609164635892337
